operateur,filiere,annee,code_region,region,code_conso,secteur,nb_sites,conso_totale,conso_moyenne
Antargaz-Finagaz,Gaz,2018,53,Bretagne,RES,RESIDENTIEL,2,3636,1818
Antargaz-Finagaz,Gaz,2019,53,Bretagne,ENT_PRO,TERTIAIRE,3,9376,3125.33333333333
Antargaz-Finagaz,Gaz,2020,53,Bretagne,ENT_PRO,INCONNU,3,10645,3548.33333333333
Antargaz-Finagaz,Gaz,2021,53,Bretagne,ENT_PRO,INCONNU,8,26524.339,3315.542375
Antargaz-Finagaz,Gaz,2022,53,Bretagne,ENT_PRO,INCONNU,4,9899.307,2474.82675
Antargaz-Finagaz,Gaz,2023,53,Bretagne,ENT,INCONNU,3,8156,2718.66666666667
EdF-SEI,Electricité,2019,53,Bretagne,ENT,INDUSTRIE,1,78.092,78.092
EdF-SEI,Electricité,2019,53,Bretagne,ENT,TERTIAIRE,3,242.174,80.7246666666667
EdF-SEI,Electricité,2019,53,Bretagne,ENT,TERTIAIRE,4,296.258,74.0645
EdF-SEI,Electricité,2019,53,Bretagne,ENT,TERTIAIRE,1,62.23,62.23
EdF-SEI,Electricité,2020,53,Bretagne,ENT,INDUSTRIE,1,50.927,50.927
EdF-SEI,Electricité,2020,53,Bretagne,ENT,TERTIAIRE,3,250.94,83.6466666666667
EdF-SEI,Electricité,2020,53,Bretagne,ENT,TERTIAIRE,4,324.669,81.16725
EdF-SEI,Electricité,2020,53,Bretagne,ENT,TERTIAIRE,1,73.355,73.355
EdF-SEI,Electricité,2021,53,Bretagne,ENT,INDUSTRIE,1,103.238,103.238
EdF-SEI,Electricité,2021,53,Bretagne,ENT,INDUSTRIE,1,85.161,85.161
EdF-SEI,Electricité,2021,53,Bretagne,ENT,TERTIAIRE,4,265.096,66.274
EdF-SEI,Electricité,2021,53,Bretagne,ENT,TERTIAIRE,4,334.313,83.57825
EdF-SEI,Electricité,2021,53,Bretagne,ENT,TERTIAIRE,1,72.204,72.204
EdF-SEI,Electricité,2021,53,Bretagne,ENT,TERTIAIRE,1,12.216,12.216
EdF-SEI,Electricité,2022,53,Bretagne,ENT,INDUSTRIE,1,74.339,74.339
EdF-SEI,Electricité,2022,53,Bretagne,ENT,INDUSTRIE,1,0.678,0.678
EdF-SEI,Electricité,2022,53,Bretagne,ENT,INDUSTRIE,1,90.843,90.843
EdF-SEI,Electricité,2022,53,Bretagne,ENT,TERTIAIRE,4,330.909,82.72725
EdF-SEI,Electricité,2022,53,Bretagne,ENT,TERTIAIRE,4,330.944,82.736
EdF-SEI,Electricité,2022,53,Bretagne,ENT,TERTIAIRE,1,75.143,75.143
EdF-SEI,Electricité,2022,53,Bretagne,ENT,TERTIAIRE,1,19.983,19.983
EdF-SEI,Electricité,2022,53,Bretagne,ENT,TERTIAIRE,1,0.266,0.266
Enedis,Electricité,2017,11,Île-de-France,ENT,AGRICULTURE,770,67003.86,87.018
Enedis,Electricité,2017,11,Île-de-France,ENT,INCONNU,43,2907.04,67.6055813953488
Enedis,Electricité,2017,11,Île-de-France,ENT,INDUSTRIE,12187,4751582.52,389.88943300238
Enedis,Electricité,2017,11,Île-de-France,ENT,TERTIAIRE,85143,24749967.83,290.687053897561
Enedis,Electricité,2017,11,Île-de-France,RES,RESIDENTIEL,6415139,29920228.12,4.66400309019025
Enedis,Electricité,2017,52,Pays de la Loire,ENT,AGRICULTURE,3071,420668.78,136.981042005861
Enedis,Electricité,2017,52,Pays de la Loire,ENT,INCONNU,18,1486.77,82.5983333333333
Enedis,Electricité,2017,52,Pays de la Loire,ENT,INDUSTRIE,6441,5018405.12,779.134469802826
Enedis,Electricité,2017,52,Pays de la Loire,ENT,TERTIAIRE,20556,4969696.43,241.763788188363
Enedis,Electricité,2017,52,Pays de la Loire,RES,RESIDENTIEL,2195337,12278255.31,5.592879503238
Enedis,Electricité,2017,53,Bretagne,ENT,AGRICULTURE,3161,692759.12,219.158215754508
Enedis,Electricité,2017,53,Bretagne,ENT,INCONNU,4,272.96,68.24
Enedis,Electricité,2017,53,Bretagne,ENT,INDUSTRIE,4648,4170984.71,897.37192555938
Enedis,Electricité,2017,53,Bretagne,ENT,TERTIAIRE,17427,4399586.29,252.458041544729
Enedis,Electricité,2017,53,Bretagne,RES,RESIDENTIEL,2075535,11114790.51,5.35514482290108
Enedis,Electricité,2018,11,Île-de-France,ENT,AGRICULTURE,692,68217.103850132,98.5796298412312
Enedis,Electricité,2018,11,Île-de-France,ENT,AGRICULTURE,11,871.340462353287,79.2127693048443
Enedis,Electricité,2018,11,Île-de-France,ENT,INCONNU,1,733.043208079808,733.043208079808
Enedis,Electricité,2018,11,Île-de-France,ENT,INCONNU,13,23773.9447878402,1828.76498368002
Enedis,Electricité,2018,11,Île-de-France,ENT,INDUSTRIE,51,81149.6554373834,1591.1697144585
Enedis,Electricité,2018,11,Île-de-France,ENT,INDUSTRIE,95,48473.8049064028,510.250577962135
Enedis,Electricité,2018,11,Île-de-France,ENT,INDUSTRIE,11,1709.79051468735,155.435501335214
Enedis,Electricité,2018,11,Île-de-France,ENT,INDUSTRIE,2768,658429.21610227,237.871826626543
Enedis,Electricité,2018,11,Île-de-France,ENT,INDUSTRIE,45,67339.5349917702,1496.43411092823
Enedis,Electricité,2018,11,Île-de-France,ENT,INDUSTRIE,2,402.153781003728,201.076890501864
Enedis,Electricité,2018,11,Île-de-France,ENT,INDUSTRIE,33,23945.4172631684,725.618704944497
Enedis,Electricité,2018,11,Île-de-France,ENT,INDUSTRIE,152,13536.4888774934,89.0558478782461
Enedis,Electricité,2018,11,Île-de-France,ENT,INDUSTRIE,67,21087.0162684335,314.731586096022
Enedis,Electricité,2018,11,Île-de-France,ENT,INDUSTRIE,49,5233.32892735991,106.80263117061
Enedis,Electricité,2018,11,Île-de-France,ENT,INDUSTRIE,107,42206.6833485635,394.454984566014
Enedis,Electricité,2018,11,Île-de-France,ENT,INDUSTRIE,291,160066.779094931,550.057660120038
Enedis,Electricité,2018,11,Île-de-France,ENT,INDUSTRIE,39,16080.3091975945,412.315620451141
Enedis,Electricité,2018,11,Île-de-France,ENT,INDUSTRIE,289,273791.678966528,947.376051787294
Enedis,Electricité,2018,11,Île-de-France,ENT,INDUSTRIE,98,157100.188387073,1603.06314680687
Enedis,Electricité,2018,11,Île-de-France,ENT,INDUSTRIE,181,154268.207381012,852.310538016641
Enedis,Electricité,2018,11,Île-de-France,ENT,INDUSTRIE,294,451925.726526355,1537.1623351236599
Enedis,Electricité,2018,11,Île-de-France,ENT,INDUSTRIE,67,49072.1898081997,732.420743405966
Enedis,Electricité,2018,11,Île-de-France,ENT,INDUSTRIE,883,265075.730393027,300.199015167641
Enedis,Electricité,2018,11,Île-de-France,ENT,INDUSTRIE,304,313136.756914257,1030.05512142848
Enedis,Electricité,2018,11,Île-de-France,ENT,INDUSTRIE,136,97178.8512576899,714.550376894779
Enedis,Electricité,2018,11,Île-de-France,ENT,INDUSTRIE,292,67875.8595301757,232.451573733478
Enedis,Electricité,2018,11,Île-de-France,ENT,INDUSTRIE,195,133623.097797889,685.24665537379
Enedis,Electricité,2018,11,Île-de-France,ENT,INDUSTRIE,54,144836.070275054,2682.14944953804
Enedis,Electricité,2018,11,Île-de-France,ENT,INDUSTRIE,81,14548.0994027095,179.606165465549
Enedis,Electricité,2018,11,Île-de-France,ENT,INDUSTRIE,159,62163.9799786135,390.96842753845
